z,H_ΛCDM,H_HyperTwist,Twist_Energy_Density
0,70,49,0.7
0.1,73.39325582095401,53.37691332433019,0.7
0.2,77.26681046866112,58.30132062635339,0.7
0.30000000000000004,81.60631103045893,63.80129771472244,0.7
0.4,86.39259227503247,69.89946102252627,0.7
0.5,91.60376629811681,76.6140590856977,0.7000000000000001
0.6000000000000001,97.21687096384044,83.96002492331674,0.7
0.7000000000000001,103.20905967985563,91.94988953296229,0.7
0.8,109.55838626047758,100.59451829371123,0.7
0.9,116.24426867592224,109.90367220269012,0.7
1,123.24771803161305,119.88641663075086,0.7
1.1,130.55140749911507,130.55140749911507,0.7
1.2000000000000002,138.13963949569293,140.02336185245238,0.7
1.3,145.99825341421038,149.80690350327674,0.7
1.4000000000000001,154.11450288665245,159.89379674490192,0.7
1.5,162.47692143809223,170.27581366712067,0.7
1.6,171.07518814836942,180.94491054154457,0.7
1.7000000000000002,179.90000000000003,191.89333333333337,0.7
1.8,188.94295435395307,203.11367593049954,0.7
1.9000000000000001,198.19644295496326,214.59890719951193,0.7
2,207.65355763867854,226.34237782615963,0.7
2.1,217.30800721556488,238.33781436545823,0.7
2.2,227.15404464811982,250.57930550245715,0.7
2.3000000000000003,237.18640348890156,263.061283869509,0.7
2.4000000000000004,247.40024252211236,275.7785056349429,0.7
2.5,257.7910975964841,288.72602930806227,0.7
2.6,268.3548397178631,301.899194682596,0.7000000000000001
2.7,279.0876385653797,315.29360248737487,0.7
2.8000000000000003,289.9859306931976,328.90509507570573,0.7
2.9000000000000004,301.04639177375975,342.7297383270496,0.7000000000000001
3,312.26591232473646,356.76380483101144,0.7000000000000001
3.1,323.64157643912193,371.0037583570423,0.7
3.2,335.1706431058663,385.4462395717462,0.7
3.3000000000000003,346.8505297675067,400.08805294112403,0.7
3.4000000000000004,358.678797812193,414.92615474183236,0.7
3.5,370.6531397411871,429.957642099777,0.7
3.6,382.7713677902253,445.17974297341425,0.7
3.7,395.0314038149372,460.5898070012459,0.7
3.8000000000000003,407.43127027757714,476.1852971369183,0.7
3.9000000000000004,419.9690821953445,491.9637820002608,0.7
4,432.6430399301484,507.9229288779942,0.7
4.1000000000000005,445.4514227163273,524.0604973133262,0.7
4.2,458.39258283702634,540.374333229033,0.7
4.3,471.4649403720281,556.8623635337539,0.7
4.4,484.66697845015193,573.5225911660132,0.6999999999999998
4.5,497.9972389481693,590.3530905349207,0.7
4.6000000000000005,511.4543185857365,607.3520033205621,0.7
4.7,525.036865372328,624.517534600769,0.7
4.800000000000001,538.7435753677255,641.8479492743074,0.7
4.9,552.5731897224114,659.3415687535214,0.7
5,566.5244919683527,676.9967679021814,0.7
5.1000000000000005,580.5963055342327,694.8119721967047,0.7
5.2,594.7874914622869,712.7856550910954,0.7
5.300000000000001,609.0969463065795,730.9163355678954,0.7
5.4,623.5236001948924,749.2025758591755,0.7
5.5,638.0664150384348,767.6429793231631,0.7
5.6000000000000005,652.7243828753452,786.236188463484,0.7
5.7,667.4965243355205,804.9808830792546,0.6999999999999998
5.800000000000001,682.3818872156559,823.8757785353729,0.7
5.9,697.3795451545737,842.9196241433544,0.7
6,712.4885963999703,862.111201643964,0.7
6.1000000000000005,727.7081626586307,881.4493237836936,0.7
6.2,743.0373880229716,900.9328329778531,0.7
6.300000000000001,758.4754379675061,920.5606000537128,0.7
6.4,774.0214984094436,940.3315230676887,0.7
6.5,789.67477482822,960.2445261911156,0.7
6.6000000000000005,805.434491439248,980.298558659611,0.7
6.7,821.2998904176233,1000.4925937814684,0.7
6.800000000000001,837.2702311679308,1020.8256280009003,0.7
6.9,853.3447896366391,1041.296680012304,0.7
7,869.5228576639029,1061.9047899220413,0.7
7.1000000000000005,885.8037423718645,1082.649018454501,0.7
7.2,902.1867655868157,1103.5284461994831,0.7
7.300000000000001,918.671263292806,1124.542172898182,0.7
7.4,935.2565851144808,1145.689316765239,0.7
7.5,951.9420938271403,1166.9690138445649,0.7
7.6000000000000005,968.7271648921591,1188.3804173967765,0.7
7.7,985.6111860160677,1209.9226973162763,0.7
7.800000000000001,1002.5935567317398,1231.5950395761486,0.7
7.9,1019.6736880002347,1253.396645699165,0.7
8,1036.8510018319894,1275.326732253347,0.7
8.1,1054.1249309261211,1297.3845303706107,0.7
8.200000000000001,1071.4949183267274,1319.5692852871546,0.7
8.3,1088.9604170951302,1341.8802559043218,0.7000000000000001
8.4,1106.5208899971117,1364.3167143687792,0.7
8.5,1124.1758092042367,1386.8779456709108,0.7
8.6,1141.9246560084425,1409.5632472604213,0.7
8.700000000000001,1159.7669205491247,1432.3719286781975,0.7
8.8,1177.702101552001,1455.3033112035441,0.7
8.9,1195.7297060790954,1478.3567275159726,0.7
9,1213.849249289219,1501.531521370764,0.7
9.1,1232.0602542083725,1524.8270472875897,0.6999999999999998
9.200000000000001,1250.3622515095378,1548.242670251516,0.7
9.3,1268.7547793013432,1571.7777654257416,0.7
9.4,1287.2373829251542,1595.4317178755036,0.7
9.5,1305.8096147601302,1619.2039223025615,0.7
9.600000000000001,1324.4710340358527,1643.0937827897606,0.7
9.700000000000001,1343.2212066521288,1667.1007125551655,0.7
9.8,1362.0597050056213,1691.2241337153132,0.7
9.9,1380.986107822957,1715.463477057141,0.7
