r,R,Ricci^2,Kretschmann,Weyl^2,BelRobinson
7.10,-1.571016e-3,-5.441050e-4,2.974938e-2,2.724913e-3,8.925181e-3
7.20,-1.493856e-3,-5.179123e-4,2.838211e-2,2.599646e-3,8.667277e-3
7.30,-1.421354e-3,-4.932191e-4,2.709143e-2,2.481505e-3,8.421131e-3
7.40,-1.353164e-3,-4.699615e-4,2.587295e-2,2.370020e-3,8.186495e-3
7.50,-1.289042e-3,-4.480618e-4,2.472227e-2,2.264751e-3,7.962888e-3
7.60,-1.228661e-3,-4.273662e-4,2.363378e-2,2.165263e-3,7.748636e-3
7.70,-1.171731e-3,-4.078648e-4,2.260479e-2,2.071202e-3,7.544250e-3
7.80,-1.118103e-3,-3.894179e-4,2.163033e-2,1.982194e-3,7.348093e-3
7.90,-1.067477e-3,-3.719862e-4,2.070752e-2,1.897924e-3,7.160153e-3
8.00,-1.019691e-3,-3.555229e-4,1.983347e-2,1.818100e-3,6.980253e-3
8.10,-9.745165e-4,-3.399636e-4,1.900510e-2,1.742443e-3,6.807906e-3
8.20,-9.318492e-4,-3.252166e-4,1.821896e-2,1.670679e-3,6.642028e-3
8.30,-8.914642e-4,-3.112525e-4,1.747289e-2,1.602578e-3,6.482660e-3
8.40,-8.532722e-4,-2.980005e-4,1.676405e-2,1.537909e-3,6.328991e-3
8.50,-8.170608e-4,-2.854655e-4,1.609115e-2,1.476484e-3,6.181673e-3
8.60,-7.827763e-4,-2.735676e-4,1.545138e-2,1.418097e-3,6.039643e-3
8.70,-7.502406e-4,-2.622659e-4,1.484276e-2,1.362566e-3,5.902578e-3
8.80,-7.194027e-4,-2.515482e-4,1.426392e-2,1.309735e-3,5.770694e-3
8.90,-6.901127e-4,-2.413768e-4,1.371311e-2,1.259447e-3,5.643685e-3
9.00,-6.623048e-4,-2.316903e-4,1.318816e-2,1.211544e-3,5.520663e-3
9.10,-6.358801e-4,-2.224741e-4,1.268787e-2,1.165895e-3,5.401717e-3
9.20,-6.107565e-4,-2.137341e-4,1.221151e-2,1.122390e-3,5.287414e-3
9.30,-5.868714e-4,-2.053865e-4,1.175666e-2,1.080885e-3,5.176224e-3
9.40,-5.641270e-4,-1.974823e-4,1.132356e-2,1.041302e-3,5.069740e-3
9.50,-5.424740e-4,-1.899003e-4,1.090915e-2,1.003492e-3,4.965418e-3
9.60,-5.218553e-4,-1.827051e-4,1.051404e-2,9.673973e-4,4.865181e-3
9.70,-5.022062e-4,-1.758400e-4,1.013651e-2,9.329097e-4,4.767972e-3
9.80,-4.834679e-4,-1.692885e-4,9.775648e-3,8.999449e-4,4.673694e-3
9.90,-4.655837e-4,-1.630332e-4,9.430580e-3,8.684219e-4,4.582208e-3
