z,Growth_ΛCDM,Growth_HyperTwist,Ratio
0,1,1.15,1.15
0.1,0.9090909090909091,1.0330578512396693,1.1363636363636362
0.2,0.8333333333333334,0.9356060606060607,1.1227272727272728
0.30000000000000004,0.7692307692307692,0.8531468531468531,1.1090909090909091
0.4,0.7142857142857143,0.7824675324675325,1.0954545454545455
0.5,0.6666666666666666,0.7212121212121212,1.0818181818181818
0.6000000000000001,0.625,0.6676136363636364,1.0681818181818181
0.7000000000000001,0.588235294117647,0.6203208556149731,1.0545454545454545
0.8,0.5555555555555556,0.5782828282828284,1.040909090909091
0.9,0.5263157894736842,0.5406698564593302,1.0272727272727273
1,0.5,0.5068181818181818,1.0136363636363637
1.1,0.47619047619047616,0.47619047619047616,1
1.2000000000000002,0.45454545454545453,0.4526859504132231,0.9959090909090909
1.3,0.4347826086956522,0.43137996219281666,0.9921739130434782
1.4000000000000001,0.41666666666666663,0.4119791666666666,0.98875
1.5,0.4,0.39424000000000003,0.9856
1.6,0.3846153846153846,0.37795857988165676,0.9826923076923076
1.7000000000000002,0.37037037037037035,0.36296296296296293,0.98
1.8,0.35714285714285715,0.3491071428571429,0.9775
1.9000000000000001,0.3448275862068965,0.3362663495838288,0.9751724137931036
2,0.3333333333333333,0.3243333333333333,0.973
2.1,0.3225806451612903,0.3132154006243496,0.9709677419354839
2.2,0.3125,0.30283203125,0.9690625
2.3000000000000003,0.303030303030303,0.2931129476584022,0.9672727272727274
2.4000000000000004,0.2941176470588235,0.2839965397923875,0.9655882352941176
2.5,0.2857142857142857,0.2754285714285714,0.964
2.6,0.2777777777777778,0.2673611111111111,0.9624999999999999
2.7,0.27027027027027023,0.2597516435354273,0.9610810810810811
2.8000000000000003,0.2631578947368421,0.25256232686980606,0.9597368421052631
2.9000000000000004,0.2564102564102564,0.2457593688362919,0.9584615384615385
3,0.25,0.2393125,0.95725
3.1,0.24390243902439027,0.2331945270672219,0.9560975609756097
3.2,0.23809523809523808,0.22738095238095235,0.955
3.3000000000000003,0.2325581395348837,0.22184964845862626,0.953953488372093
3.4000000000000004,0.22727272727272727,0.2165805785123967,0.9529545454545455
3.5,0.2222222222222222,0.21155555555555552,0.952
3.6,0.2173913043478261,0.20675803402646506,0.9510869565217391
3.7,0.2127659574468085,0.20217292892711636,0.9502127659574469
3.8000000000000003,0.20833333333333331,0.1977864583333333,0.949375
3.9000000000000004,0.2040816326530612,0.19358600583090377,0.9485714285714286
4,0.2,0.18956,0.9478
4.1000000000000005,0.196078431372549,0.18569780853517875,0.9470588235294118
4.2,0.1923076923076923,0.18198964497041417,0.9463461538461537
4.3,0.18867924528301888,0.17842648629405486,0.9456603773584907
4.4,0.18518518518518517,0.175,0.945
4.5,0.18181818181818182,0.171702479338843,0.9443636363636365
4.6000000000000005,0.17857142857142855,0.1685267857142857,0.9437500000000001
4.7,0.17543859649122806,0.165466297322253,0.9431578947368421
4.800000000000001,0.17241379310344826,0.16251486325802614,0.9425862068965517
4.9,0.1694915254237288,0.15966676242459063,0.9420338983050848
5,0.16666666666666666,0.15691666666666665,0.9414999999999999
