z,m_ΛCDM,m_HyperTwist,Difference
0.1,38.315255949239564,39.04850429613196,0.7332483468923954
0.2,39.95638788330293,40.650342288725014,0.6939544054220832
0.30000000000000004,40.95562614381603,41.6121997321198,0.6565735883037647
0.4,41.684691182414305,42.30572766286412,0.621036480449817
0.5,42.261475728866344,42.84873777389443,0.5872620450280834
0.6000000000000001,42.739346177125014,43.29450765812881,0.5551614810037933
0.7000000000000001,43.147313743867116,43.671955613380774,0.5246418695136583
0.8,43.50305106612072,43.998660316866385,0.495609250745666
0.9,43.818193745490774,44.28616475116945,0.46797100567867744
1,44.100845665790814,44.54248322867626,0.44163756288544675
1.1,44.35689527501228,44.77341879918386,0.41652352417158056
1.2000000000000002,44.59076467844872,44.984000129481394,0.3932354510326732
1.3,44.80586343770805,45.178057165302675,0.37219372759462743
1.4000000000000001,45.0048776183537,45.357949483852806,0.3530718654991034
1.5,45.18996160597055,45.52556778867198,0.33560618270142584
1.6,45.3628698062128,45.68245062282505,0.3195808166122518
1.7000000000000002,45.52504969547128,45.82986659067589,0.30481689520460975
1.8,45.677709184780824,45.9688740281198,0.29116484333897574
1.9000000000000001,45.82186641917518,46.100364683695325,0.27849826452014526
2,45.95838726713693,46.22509694574545,0.266709678608521
2.1,46.08801399571183,46.343721026817825,0.2557070311059917
2.2,46.211387514218075,46.456798300877985,0.24541078665991023
2.3000000000000003,46.329064846427954,46.56481708536389,0.23575223893593744
2.4000000000000004,46.44153300979927,46.6682042264989,0.22667121669962853
2.5,46.54922015301675,46.767335236717074,0.21811508370032584
2.6,46.65250457619112,46.862542294566204,0.21003771837508367
2.7,46.75172209801384,46.95412026194231,0.20239816392846421
2.8000000000000003,46.84717211949956,47.04233210846554,0.19515998896597608
2.9000000000000004,46.9391226506252,47.12741370851481,0.18829105788960732
3,47.027814504838936,47.20957689052375,0.18176238568481295
3.1,47.11346482072528,47.289012897158514,0.17554807643323755
3.2,47.196270035711,47.365894993416056,0.1696249577050537
3.3000000000000003,47.27640841053126,47.440380383169035,0.16397197263777485
3.4000000000000004,47.35404218308937,47.512612327908954,0.15857014481958487
3.5,47.4293194147924,47.58272164549882,0.15340223070641912
3.6,47.50237558030574,47.65082825633119,0.14845267602544965
3.7,47.57333494212504,47.717042081162035,0.14370713903699794
3.8000000000000003,47.64231174380506,47.781464447320516,0.13915270351545672
3.9000000000000004,47.70941124965944,47.84418851414916,0.1347772644897205
4,47.77473065391284,47.905300808872695,0.13057015495985524
4.1000000000000005,47.83835987838768,47.9648813136116,0.12652143522392123
4.2,47.90038227464476,48.02300374433301,0.12262146968824794
4.3,47.96087524391726,48.079737359810025,0.1188621158927674
4.4,48.01991078606348,48.13514599712175,0.11523521105826973
4.5,48.07755598702286,48.18928996337132,0.11173397634846083
4.6000000000000005,48.13387345281954,48.242224495406276,0.10835104258673312
4.7,48.1889216969615,48.29400221451028,0.10508051754877812
4.800000000000001,48.24275548708524,48.344672187329024,0.10191670024378396
4.9,48.295426155860696,48.394280206248304,0.09885405038760808
5,48.3469818804681,48.442869040397255,0.09588715992915553
5.1000000000000005,48.39746793436632,48.490480076065104,0.09301214169878591
5.2,48.44692691457044,48.53715087805561,0.09022396348517248
5.300000000000001,48.495398947230576,48.5829176086647,0.08751866143412457
5.4,48.542921873940415,48.627814253662294,0.0848923797218788
5.5,48.589531420894474,48.67187277460472,0.0823413537102482
5.6000000000000005,48.63526135274661,48.71512428607363,0.07986293332702132
5.7,48.680143612794154,48.757596445472764,0.0774528326786097
5.800000000000001,48.72420845091488,48.799317627131344,0.07510917621646485
5.9,48.76748454051374,48.840312910168755,0.0728283696550136
6,48.809999085589126,48.88060701849554,0.07060793290641243
6.1000000000000005,48.85177791889987,48.920223370587564,0.068445451687694
6.2,48.89284559210307,48.9591841610242,0.06633856892112533
6.300000000000001,48.93322545863538,48.997510435281896,0.064284976646519
6.4,48.9729397500251,49.03522215840587,0.06228240838077426
6.5,49.01200964624824,49.07233900455909,0.0603293583108524
6.6000000000000005,49.05045534067591,49.108878941673666,0.0584236009977559
6.7,49.088296100102696,49.14485927725538,0.05656317715268244
6.800000000000001,49.12555032029525,49.18029707777109,0.05474675747584001
6.9,49.16223557745488,49.215208180557006,0.052972603102126925
7,49.1983686759487,49.24960747187967,0.05123879593097058
7.1000000000000005,49.233965692628175,49.28351000115373,0.04954430852555447
7.2,49.26904201802304,49.31692996631364,0.04788794829059384
7.300000000000001,49.303612394670516,49.349880368090226,0.04626797341970956
7.4,49.33769095281462,49.38237413409503,0.04468318128041204
7.5,49.37129124368908,49.414423636477736,0.04313239278865666
7.6000000000000005,49.4044262705765,49.44604072010724,0.04161444953074067
7.7,49.43710851781951,49.477236728845,0.04012821102548969
7.800000000000001,49.46934997794324,49.508022641573284,0.03867266363004518
7.9,49.50116217703453,49.53840960844152,0.03724743140698905
8,49.53255619851021,49.56840701199516,0.03585081348495578
8.1,49.56354270539525,49.59802442956514,0.03448172416989337
8.200000000000001,49.594131961221315,49.62727174157551,0.03313978035419751
8.3,49.62433384964665,49.65615824896234,0.03182439931568837
8.4,49.65415789288987,49.68469149088823,0.030533597998356754
8.5,49.68361326906244,49.71288167335943,0.0292684042969924
8.6,49.712708828477645,49.74073501938879,0.02802619091114167
8.700000000000001,49.741453109007665,49.768261084875036,0.026807975867370715
8.8,49.76985435055438,49.795465522301,0.02561117174661831
8.9,49.79792050869445,49.822358033235,0.02443752454054504
9,49.825659267554606,49.84894351972429,0.023284252169680997
9.1,49.85307805196828,49.87522964581409,0.02215159384580545
9.200000000000001,49.8801840389614,49.901223607247104,0.021039568285701193
9.3,49.90698416861086,49.92693066138712,0.019946492776256264
9.4,49.93348515431655,49.95235710070805,0.01887194639149925
9.5,49.959693492524174,49.97751031515655,0.017816822632376272
9.600000000000001,49.98561547193397,50.002394907872514,0.016779435938545362
9.700000000000001,50.01125718222717,50.02701644408779,0.01575926186062304
9.8,50.03662452234046,50.05138043588832,0.014755913547858768
9.9,50.061723208315975,50.07549222001258,0.013769011696602718
