x,y
-5,0.0000000000000006123233995736766
-4.989979998485379,-0.01497995967576829
-4.979917637031694,-0.02990976986949653
-4.969813102657348,-0.04478929943857896
-4.959666582839261,-0.05961841780202932
-4.949478265511639,-0.07439699494190213
-4.9392483390647275,-0.08912490140470701
-4.9289769923435705,-0.10380200830282363
-4.918664414646767,-0.11842818731591728
-4.908310795725225,-0.13300331069234175
-4.897916325780909,-0.14752725125054222
-4.887481195465585,-0.16199988238046237
-4.877005595879575,-0.17642107804493604
-4.866489718570491,-0.1907907127810869
-4.855933755531978,-0.20510866170171624
-4.845337899202457,-0.2193748004966944
-4.8347023424638556,-0.23358900543433975
-4.824027278640342,-0.24775115336280473
-4.8133129014970635,-0.2618611217114541
-4.802559405238865,-0.2759187884922335
-4.791766984509024,-0.2899240323010478
-4.780935834387972,-0.30387673231912304
-4.770066150392025,-0.31777676831437207
-4.759158128472087,-0.3316240206427555
-4.748211965012392,-0.34541837024964056
-4.737227856829203,-0.35915969867114855
-4.7262060011695315,-0.3728478880355081
-4.715146595709852,-0.386482821064403
-4.7040498385548135,-0.40006438107431547
-4.692915928235949,-0.4135924519778613
-4.681745063710374,-0.427066918285124
-4.670537444359505,-0.4404876651049925
-4.659293269987752,-0.45385457814648567
-4.648012740821226,-0.467167543720073
-4.636696057506435,-0.4804264487390011
-4.625343421108984,-0.4936311807206058
-4.6139550331122745,-0.5067816277876281
-4.602531095416191,-0.5198776786695202
-4.591071810335804,-0.5329192227037507
-4.579577380600055,-0.545906149837111
-4.568048009350447,-0.5588383506270062
-4.556483900139737,-0.5717157162427531
-4.544885256930619,-0.584538138466865
-4.533252284094411,-0.597305509696338
-4.52158518640974,-0.6100177229439384
-4.509884169061224,-0.6226746718394711
-4.498149437638153,-0.6352762506310562
-4.486381198133171,-0.647822354186402
-4.4745796569409535,-0.6603128779940663
-4.462745020856888,-0.6727477181647179
-4.450877497075747,-0.6851267714323921
-4.4389772931903675,-0.697449935155747
-4.427044617190319,-0.709717107319305
-4.41507967746059,-0.7219281865347068
-4.403082682780245,-0.7340830720419398
-4.391053842321108,-0.7461816637105825
-4.378993365646428,-0.7582238620410294
-4.36690146270955,-0.7702095681657193
-4.354778343852584,-0.7821386838503583
-4.342624219805078,-0.7940111114951391
-4.3304393016826745,-0.8058267541359504
-4.318223800985791,-0.8175855154455887
-4.305977929598279,-0.8292872997349598
-4.293701899786093,-0.8409320119542804
-4.281395924195956,-0.8525195576942727
-4.269060215854023,-0.8640498431873532
-4.256694988164546,-0.8755227753088162
-4.244300454908543,-0.8869382615780216
-4.231876830242456,-0.8982962101595674
-4.219424328696822,-0.9095965298644606
-4.2069431651749305,-0.9208391301512809
-4.194433554951492,-0.9320239211273471
-4.181895713671301,-0.9431508135498714
