r,Standard_Modes,HyperTwist_Extra_Mode,Ratio
0.1,0.000000000000000000001,0.0000000000000000002175556699509605,217.55566995096052
0.2,0.000000000000000000001,0.000000000000000000019224545043186616,19.224545043186616
0.30000000000000004,0.000000000000000000001,0.0000000000000000000041404959378922154,4.140495937892216
0.4,0.000000000000000000001,0.0000000000000000000012999497974893899,1.29994979748939
0.5,0.000000000000000000001,0.0000000000000000000005054409848746606,0.5054409848746607
0.6000000000000001,0.000000000000000000001,0.00000000000000000000022607160213932453,0.22607160213932456
0.7000000000000001,0.000000000000000000001,0.00000000000000000000011174997443442696,0.11174997443442697
0.8,0.000000000000000000001,0.00000000000000000000005957638081318048,0.05957638081318049
0.9,0.000000000000000000001,0.000000000000000000000033708715958215304,0.033708715958215306
1,0.000000000000000000001,0.000000000000000000000020016065972429964,0.020016065972429966
1.1,0.000000000000000000001,0.000000000000000000000012371761708181754,0.012371761708181755
1.2000000000000002,0.000000000000000000001,0.000000000000000000000007910809168628468,0.007910809168628468
1.3,0.000000000000000000001,0.000000000000000000000005207970011914424,0.0052079700119144244
1.4000000000000001,0.000000000000000000001,0.000000000000000000000003516619389443445,0.0035166193894434453
1.5,0.000000000000000000001,0.0000000000000000000000024280543791909778,0.002428054379190978
1.6,0.000000000000000000001,0.000000000000000000000001709906160501154,0.001709906160501154
1.7000000000000002,0.000000000000000000001,0.0000000000000000000000012256165635867453,0.0012256165635867453
1.8,0.000000000000000000001,0.0000000000000000000000008925579486662477,0.0008925579486662478
1.9000000000000001,0.000000000000000000001,0.00000000000000000000000065942089353191635,0.0006594208935319164
2,0.000000000000000000001,0.0000000000000000000000004935947117916608,0.0004935947117916609
2.1,0.000000000000000000001,0.00000000000000000000000037391421331397986,0.0003739142133139799
2.2,0.000000000000000000001,0.00000000000000000000000028637910506990364,0.00028637910506990364
2.3000000000000003,0.000000000000000000001,0.000000000000000000000000221566686860476,0.00022156668686047602
2.4000000000000004,0.000000000000000000001,0.00000000000000000000000017303373021270542,0.00017303373021270544
2.5,0.000000000000000000001,0.0000000000000000000000001363096158852234,0.00013630961588522342
2.6,0.000000000000000000001,0.00000000000000000000000010825036008915383,0.00010825036008915384
2.7,0.000000000000000000001,0.00000000000000000000000008661719126686987,0.00008661719126686988
2.8000000000000003,0.000000000000000000001,0.00000000000000000000000006979734092669961,0.00006979734092669961
2.9000000000000004,0.000000000000000000001,0.0000000000000000000000000566163887389969,0.000056616388738996906
