Time,Frequency,GTR_Amplitude,HyperTwist_Amplitude,Difference
-1,138.3830760725855,-0.0000000000000000000016189431104423892,0.00000000000000000000005623181095859275,0.000000000000000000001675174921400982
-0.999,138.40903182210283,-0.0000000000000000000023951925070110748,-0.0000000000000000000013530277362869231,0.0000000000000000000010421647707241517
-0.998,138.43500543126757,-0.0000000000000000000020243758320321415,-0.0000000000000000000023251859180474804,-0.00000000000000000000030081008601533884
-0.997,138.46099692131662,-0.0000000000000000000006830001504846387,-0.000000000000000000002218598948728579,-0.0000000000000000000015355987982439404
-0.996,138.48700631352273,0.000000000000000000000986631052331275,-0.0000000000000000000007966781252871483,-0.000000000000000000001783309177618423
-0.995,138.51303362919467,0.000000000000000000002183613792567116,0.000000000000000000001152058240062887,-0.000000000000000000001031555552504229
-0.994,138.53907888967723,0.0000000000000000000023326663171701576,0.0000000000000000000023489618062228998,0.00000000000000000000001629548905274216
-0.993,138.56514211635138,0.0000000000000000000013610375502708523,0.0000000000000000000022009912951941074,0.000000000000000000000839953744923255
-0.992,138.5912233306343,-0.0000000000000000000002653868845063883,0.0000000000000000000010922851762211245,0.0000000000000000000013576720607275129
-0.991,138.61732255397945,-0.0000000000000000000017649723305857673,-0.0000000000000000000003486602346054972,0.0000000000000000000014163120959802702
-0.99,138.64343980787672,-0.0000000000000000000024158262332039803,-0.000000000000000000001696908691506743,0.0000000000000000000007189175416972374
-0.989,138.6695751138524,-0.0000000000000000000019035847665203843,-0.0000000000000000000024329149373684896,-0.0000000000000000000005293301708481052
-0.988,138.69572849346932,-0.0000000000000000000004738137224172544,-0.0000000000000000000019347710137307697,-0.0000000000000000000014609572913135154
-0.987,138.721899968327,0.0000000000000000000011851257776467847,-0.0000000000000000000002320927211680714,-0.0000000000000000000014172184988148562
-0.986,138.74808956006157,0.000000000000000000002273162271204633,0.0000000000000000000016267924365755166,-0.0000000000000000000006463698346291163
-0.985,138.774297290346,0.000000000000000000002264465341396493,0.0000000000000000000024447319519626094,0.00000000000000000000018026661056611652
-0.984,138.80052318089008,0.0000000000000000000011620393904426483,0.00000000000000000000194366028261031,0.0000000000000000000007816208921676617
-0.983,138.82676725344064,-0.0000000000000000000005025311065863742,0.0000000000000000000006748684073972609,0.0000000000000000000011773995139836352
-0.982,138.85302952978137,-0.0000000000000000000019249379683811494,-0.000000000000000000000784067943976669,0.0000000000000000000011408700244044804
-0.981,138.87931003173324,-0.0000000000000000000024166918408068562,-0.0000000000000000000020193195821746084,0.0000000000000000000003973722586322478
-0.98,138.90560878115429,-0.00000000000000000000173870283904731,-0.00000000000000000000243335731863669,-0.0000000000000000000006946544795893801
-0.979,138.93192579993985,-0.00000000000000000000021811886354875663,-0.0000000000000000000015057223588116382,-0.0000000000000000000012876034952628816
-0.978,138.95826111002268,0.0000000000000000000014089568811375052,0.0000000000000000000003983523959539348,-0.0000000000000000000010106044851835704
-0.977,138.98461473337287,0.0000000000000000000023535350985009095,0.000000000000000000002035704841301712,-0.0000000000000000000003178302571991974
-0.976,139.0109866919981,0.0000000000000000000021564927875875023,0.0000000000000000000024139419164690965,0.00000000000000000000025744912888159423
-0.975,139.03737700794366,0.000000000000000000000912253389253709,0.000000000000000000001588910234903466,0.0000000000000000000006766568456497571
-0.974,139.06378570329247,-0.0000000000000000000007758281269312623,0.0000000000000000000002041524593474892,0.0000000000000000000009799805862787515
-0.973,139.0902128001652,-0.0000000000000000000020876142543713695,-0.0000000000000000000012361807593435602,0.0000000000000000000008514334950278092
-0.972,139.1166583207205,-0.000000000000000000002384618571540733,-0.000000000000000000002283407314911896,0.00000000000000000000010121125662883678
-0.971,139.14312228715482,-0.0000000000000000000015211731456116199,-0.000000000000000000002283280104490829,-0.0000000000000000000007621069588792092
-0.97,139.1696047217027,0.00000000000000000000008350811912398456,-0.000000000000000000000927392556579908,-0.0000000000000000000010109006757038925
-0.969,139.19610564663682,0.0000000000000000000016483138122072832,0.0000000000000000000010486265478425354,-0.0000000000000000000005996872643647478
-0.968,139.22262508426792,0.000000000000000000002410252443449473,0.0000000000000000000023274529240814927,-0.00000000000000000000008279951936798047
-0.967,139.24916305694512,0.0000000000000000000019967236372830546,0.0000000000000000000022396608524954153,0.0000000000000000000002429372152123607
-0.966,139.27571958705593,0.0000000000000000000006082939686593136,0.00000000000000000000114378308998948,0.0000000000000000000005354891213301663
-0.965,139.30229469702618,-0.0000000000000000000010779549054686014,-0.00000000000000000000031025977279400523,0.0000000000000000000007676951326745961
-0.964,139.32888840932037,-0.0000000000000000000022382411634793913,-0.000000000000000000001680654181715039,0.0000000000000000000005575869817643523
-0.963,139.3555007464415,-0.0000000000000000000023045877138008867,-0.0000000000000000000024387528452423098,-0.000000000000000000000134165131441423
-0.962,139.38213173093132,-0.0000000000000000000012433225631961044,-0.0000000000000000000019439830061156836,-0.0000000000000000000007006604429195792
-0.961,139.40878138537042,0.0000000000000000000004272097743968607,-0.00000000000000000000022100898744836437,-0.0000000000000000000006482187618452251
-0.96,139.4354497323782,0.0000000000000000000018893112790889324,0.000000000000000000001652998531293877,-0.00000000000000000000023631274779505537
-0.9590000000000001,139.46213679461303,0.0000000000000000000024260607594066873,0.0000000000000000000024549153652791833,0.000000000000000000000028854605872495984
-0.9580000000000001,139.48884259477234,0.0000000000000000000017731740515886223,0.000000000000000000001918995450636618,0.0000000000000000000001458213990479955
-0.9570000000000001,139.51556715559272,0.00000000000000000000024974573225825156,0.0000000000000000000006211036259586491,0.0000000000000000000003713578937003976
